neighborhood,neighborhood_latitude,neighborhood_longitude,venue_name,venue_id,venue_rating,venue_category,venue_address,venue_city,venue_latitude,venue_longitude
Inglewood,33.96178000000003,-118.35673999999996,Steve D's spot,4f5afef5e4b03a6a110c98ba,,Lounge,"300 Inglewood Ave, Inglewood, CA 90301","Inglewood, CA 90301",33.96055603027344,-118.3616943359375
Inglewood,33.96178000000003,-118.35673999999996,HomeGrown Radio,5378f67a498e3603d5f10bbc,,Sports Bar,126 S Market St,"Inglewood, CA 90301",33.96236038208008,-118.35179901123047
Inglewood,33.96178000000003,-118.35673999999996,Zuri Wine Tasting,4d423cb989c3a143179ff683,,Wine Bar,122 N Market St (regent),"Inglewood, CA 90301",33.96351347397978,-118.35173737045218
Inglewood,33.96178000000003,-118.35673999999996,Millennium Shoes,4eb2c0fff9f438748154f91b,,Clothing Store,234 W Manchester Blvd (at Eucalyptus Ave.),"Inglewood, CA 90301",33.96149598206066,-118.35876421289116
Inglewood,33.96178000000003,-118.35673999999996,Cambridge Uniforms,4e2763d345ddfe8f9de7b4ca,,Kids Store,"Inglewood, CA",United States,33.96138439512371,-118.35198467830875
Inglewood,33.96178000000003,-118.35673999999996,Valero,4e826726f790f62e6aa711d4,,Gas Station,145 E Manchester Blvd (at La Brea Ave),"Inglewood, CA 90301",33.961838,-118.353678
Inglewood,33.96178000000003,-118.35673999999996,Chic & Curvy Boutique,50fb0e75e4b052c5993d21dd,,Boutique,"Inglewood, CA 90301",United States,33.961737561038724,-118.35197326430328
Inglewood,33.96178000000003,-118.35673999999996,Basket beauty supply,4ce829a5948f224b10b6ee5d,,Cosmetics Shop,125 S Market St,"Inglewood, CA 90301",33.96242558956146,-118.35191488265991
Inglewood,33.96178000000003,-118.35673999999996,My Mobile AT&T,4b805e5af964a5200a6c30e3,,Electronics Store,125 N La Brea Ave. (E Regent St),"Inglewood, CA 90301",33.96391769852618,-118.35352420806885
Inglewood,33.96178000000003,-118.35673999999996,Platinum Cuts,4c66d1c69cb82d7f5bac91d2,,Salon / Barbershop,233 S LA Brea Ave (E Manchester Blvd),"Inglewood, CA 90301",33.961621,-118.353408
Inglewood,33.96178000000003,-118.35673999999996,Postal Plus Business Center,57881d5a498e63fa5f746555,,Print Shop,309 Hillcrest,"Inglewood, CA 90301",33.95979552820088,-118.35129750916106
Inglewood,33.96178000000003,-118.35673999999996,Carlos Primrose Tailor,58d04157a37d7243a5b3286c,,Tailor Shop,"Inglewood, CA",United States,33.959932,-118.350774
Inglewood,33.96178000000003,-118.35673999999996,Top Diversified Fashion,5b11aef1cbcdee002c340da7,,Clothing Store,238 S Market St,"Inglewood, CA 90301",33.961,-118.35173
Inglewood,33.96178000000003,-118.35673999999996,Hair Solution,5067555ee4b08d6e1f5dfb63,,Salon / Barbershop,252 S Market St (Market St And Nutwood St),"Inglewood, CA 90301",33.96078243668241,-118.3518134681454
Inglewood,33.96178000000003,-118.35673999999996,JP Cleaners,4f6222bae4b0fcf2308d874d,,Dry Cleaner,253 S LA Brea Ave (Nutwood Avenue),"Inglewood, CA 90301",33.960798,-118.353483
Inglewood,33.96178000000003,-118.35673999999996,In The Cut Barber Salon,4c367328ae2da593c942fdc5,,Salon / Barbershop,218 E Regent St (Between LaBrea And Market),"Inglewood, CA 90301",33.96432296045892,-118.35251319262402
Inglewood,33.96178000000003,-118.35673999999996,Andy's Liquor Store,4c1305f3a1010f474d0d4a18,,Liquor Store,440 W Manchester Blvd (Cedar Ave),"Inglewood, CA 90301",33.96149016947178,-118.36354096236013
Inglewood,33.96178000000003,-118.35673999999996,Walgreens,4b56858bf964a520d41328e3,,Pharmacy,230 N La Brea Ave,"Inglewood, CA 90301",33.966391413486335,-118.35275441408157
Inglewood,33.96178000000003,-118.35673999999996,Inglewood MarketPlace Swap Meet,4ca3c6a2554b236ad7a32948,,Flea Market,139 S Market St (Manchester Blvd),"Inglewood, CA 90301",33.962238099214446,-118.35202710390624
Inglewood,33.96178000000003,-118.35673999999996,Bank of America,4c52349eb6dabe9a685bf812,,Bank,330 E Manchester Blvd (S Locust St),"Inglewood, CA 90301",33.96150745088603,-118.35058455452216
Inglewood,33.96178000000003,-118.35673999999996,AutoZone,4bbb88f02d9ea59318869fce,,Automotive Shop,433 N La Brea Ave,"Inglewood, CA 90302",33.9682392375604,-118.35573376713
Jefferson Park,34.03264000000007,-118.31802,LA 84 Foundation Library,4c0a8b0bffb8c9b61eb96b61,,General Entertainment,2141 W Adams Blvd,"Los Angeles, CA 90018",34.03328586769992,-118.31268739736994
Jefferson Park,34.03264000000007,-118.31802,West Adams Historical Association,4c0a9d757e3fc92825ebf382,,Art Gallery,1824 4th Ave (Washington),"Los Angeles, CA 90019",34.03848362489326,-118.31728824767931
Jefferson Park,34.03264000000007,-118.31802,home gym,50344f5be4b0a2d03d6590f0,,Gym,"Los Angeles, CA 90018",United States,34.03509463371849,-118.31599819554434
Jefferson Park,34.03264000000007,-118.31802,Rancho's Onsite Tacos,569e4a44498edccdb784400d,,Taco Place,"Los Angeles, CA 90018",United States,34.02920675806833,-118.31648826599121
Jefferson Park,34.03264000000007,-118.31802,Petes,4bc0ce5ef8219c74273fb210,,Southern / Soul Food Restaurant,Jefferson (Crenshaw),"Los Angeles, CA",34.03120497557756,-118.314554010494
Jefferson Park,34.03264000000007,-118.31802,Exceptional Children Foundation,4f6cae67e4b07a4bc3b0b0d2,,Medical Center,2225 W Adams Blvd (Western & Arlington),"Los Angeles, CA 90018",34.03294935131841,-118.31620939944186
Jefferson Park,34.03264000000007,-118.31802,Free STD Clinics,52d6df5211d24f844b46028f,,Medical Center,2146 W Adams Blvd,"Los Angeles, CA 90018",34.032664,-118.313305
Jefferson Park,34.03264000000007,-118.31802,Good Samaritan Hospital,4bf4a64394af2d7fe7e93a72,,Hospital,"Los Angeles, CA 90018",United States,34.03704666878874,-118.31564428572098
